,Region,Surface area,Population in thousands,Population density,Sex ratio,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Employment: Agriculture,Employment: Industry,Employment: Services,Unemployment,Agricultural production index,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"Balance of payments, current account",Population growth rate,Urban population,Urban population growth rate,"Fertility rate, total",Refugees and others of concern to UNHCR,Infant mortality rate (per 1000 live births,Health: Total expenditure,Health: Physicians,Education: Government expenditure,Seats held by women in national parliaments %,Mobile-cellular subscriptions,Mobile-cellular subscriptions .1,Individuals using the Internet,Threatened species,Forested area,CO2 emission estimates,"Energy production, primary",Energy supply per capita,Pop. using improved sanitation facilities,Female labour participation,Male labour participation,Life Expectancy Female,Life Expectancy Male,Population Age 0-14,Population Age 60+,Primary Enrolment Female,Primary Enrolment Male,Secondary Enrolment Female,Secondary Enrolment Male,Tertiary Enrolment Female,Tertiary Enrolment Male,Improved Drinking Water Urban,Improved Drinking Water Rural
0,17,652864.0,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125,125,1458.0,3568.0,-2110.0,-5121.0,3.2,26.7,4.0,5.3,1513.1,68.6,8.2,0.3,3.3,27.7,61.6,8.3,42,2.1,0.3,63,5,78.2,21.43,19.3,83.6,63.5,61.0,43.2,4.1,91.1,131.6,39.7,70.7,3.7,13.3,45.1,27.0
1,18,28748.0,2930,106.9,101.9,11541,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134,134,1962.0,4669.0,-2707.0,-1222.0,-0.1,57.4,2.2,1.7,8.8,14.6,5.9,1.3,3.5,22.9,106.4,63.3,130,28.2,2.0,84,36,94.9,2.96,40.2,61.0,79.9,75.6,17.4,19.0,111.7,115.5,92.5,98.8,68.1,48.7,95.5,90.2
2,9,2381741.0,41318,17.3,102.0,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992.0,47091.0,-17099.0,-27229.0,2.0,70.7,2.8,3.0,99.8,27.7,7.2,0.0,0.0,31.6,113.0,38.2,135,0.8,3.7,5900,55,84.3,0.05,17.0,70.7,76.5,74.1,29.3,9.4,112.7,119.5,101.7,98.1,45.1,28.9,89.8,82.2
3,18,468.0,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,-99.0,-99.0,-99.0,-99.0,-99,-99,100.0,1355.0,-1255.0,-99.0,-1.6,85.1,0.1,1.2,-99.0,-99.0,8.1,3.7,3.3,32.1,88.1,96.9,13,34.0,6.4,1,119,100.0,-99.0,-99.0,0.0,-99.0,0.0,14.4,19.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,100.0,100.0
4,8,1246700.0,29784,23.9,96.2,117955,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175,176,21011.0,8790.0,12221.0,-10273.0,3.5,44.1,5.0,6.0,45.7,65.4,3.3,0.0,0.0,38.2,60.8,12.4,146,46.5,1.4,3902,25,75.4,0.42,59.8,77.1,63.0,57.4,46.8,4.0,100.4,156.9,22.7,35.1,8.2,10.4,88.6,22.5
5,0,91.0,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82.0,0.0,0.0,0.0,0.0,-99,-99,2.0,154.0,-153.0,-48.0,1.2,100.0,1.2,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,177.9,76.0,52,61.1,9.8,0,136,94.6,-99.0,0.0,0.0,0.0,0.0,23.3,7.6,-99.0,0.0,-99.0,0.0,-99.0,0.0,97.9,0.0
6,15,2780400.0,44271,16.2,95.9,632343,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119,119,57733.0,55610.0,2124.0,-15944.0,1.0,91.8,1.0,2.3,5.0,13.7,4.8,3.8,5.3,38.9,143.9,69.4,256,10.0,4.7,3167,85,99.0,0.01,48.6,74.4,79.8,72.2,24.9,15.4,109.8,110.2,110.3,103.4,102.9,63.5,96.2,98.3
7,20,29743.0,2930,102.9,88.8,10529,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135,135,1776.0,3230.0,-1455.0,-279.0,0.3,62.7,-0.1,1.6,19.3,13.2,4.5,2.8,2.8,9.9,115.2,58.2,114,11.7,1.8,48,46,100.0,3.17,55.3,74.2,77.0,70.6,20.0,16.9,98.5,98.5,89.0,88.1,46.9,41.6,96.2,78.2
8,0,180.0,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14.0,85.1,0.0,-99,-99,95.0,1117.0,-1022.0,96.0,0.5,41.5,-0.3,1.8,0.0,14.8,-99.0,-99.0,6.2,-99.0,135.7,88.7,32,2.3,8.4,1,120,98.1,-99.0,58.8,69.6,77.8,72.9,17.9,19.7,115.4,119.1,112.1,110.3,21.4,9.4,97.7,97.7
9,12,7692060.0,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630.0,189406.0,224.0,-57746.0,1.5,89.4,1.5,1.9,58.2,3.9,9.4,3.4,5.2,28.7,132.8,84.6,948,16.2,15.3,15282,222,100.0,-99.0,58.4,70.7,84.4,80.2,19.0,21.0,102.1,102.3,133.6,141.3,106.3,75.4,100.0,100.0
